Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx
46,Pd,palladium,110, 0.1172(9),g,0.1172,46110
47,Ag,silver,107, 0.518 39(8),g,0.51839,47107
47,Ag,silver,109, 0.481 61(8),g,0.48161000000000004,47109
48,Cd,cadmium,106, 0.012 45(22),g,0.01245,48106
48,Cd,cadmium,108, 0.008 88(11),g,0.008879999999999999,48108
48,Cd,cadmium,110, 0.124 70(61),g,0.1247,48110
48,Cd,cadmium,111, 0.127 95(12),g,0.12795,48111
48,Cd,cadmium,112, 0.241 09(7),g,0.24109,48112
48,Cd,cadmium,113, 0.122 27(7),g,0.12227,48113
48,Cd,cadmium,114, 0.287 54(81),g,0.28754,48114
48,Cd,cadmium,116, 0.075 12(54),g,0.07512,48116
49,In,indium,113, 0.042 81(52),g,0.04281,49113
49,In,indium,115, 0.957 19(52),g,0.95719,49115
50,Sn,tin,112, 0.0097(1),g,0.0097,50112
50,Sn,tin,114, 0.0066(1),g,0.0066,50114
50,Sn,tin,115, 0.0034(1),g,0.0034,50115
50,Sn,tin,116, 0.1454(9),g,0.1454,50116
50,Sn,tin,117, 0.0768(7),g,0.0768,50117
50,Sn,tin,118, 0.2422(9),g,0.2422,50118
50,Sn,tin,119, 0.0859(4),g,0.0859,50119
50,Sn,tin,120, 0.3258(9),g,0.3258,50120
50,Sn,tin,122, 0.0463(3),g,0.0463,50122
50,Sn,tin,124, 0.0579(5),g,0.0579,50124
51,Sb,antimony,121, 0.5721(5),g,0.5721,51121
51,Sb,antimony,123, 0.4279(5),g,0.4279,51123
52,Te,tellurium,120, 0.0009(1),g,0.0009,52120
52,Te,tellurium,122, 0.0255(12),g,0.0255,52122
52,Te,tellurium,123, 0.0089(3),g,0.0089,52123
52,Te,tellurium,124, 0.0474(14),g,0.0474,52124
52,Te,tellurium,125, 0.0707(15),g,0.0707,52125
52,Te,tellurium,126, 0.1884(25),g,0.1884,52126
52,Te,tellurium,128, 0.3174(8),g,0.3174,52128
52,Te,tellurium,130, 0.3408(62),g,0.3408,52130
53,I,iodine,127, 1,g,1.0,53127
54,Xe,xenon,124, 0.000 95(5),g m,0.00095,54124
54,Xe,xenon,126, 0.000 89(3),g m,0.0008900000000000001,54126
54,Xe,xenon,128, 0.019 10(13),g m,0.0191,54128
54,Xe,xenon,129, 0.264 01(138),g m,0.26400999999999997,54129
54,Xe,xenon,130, 0.040 71(22),g m,0.04071,54130
54,Xe,xenon,131, 0.212 32(51),g m,0.21231999999999998,54131
