Origin: https://ciaaw.org/isotopic-abundances.html

Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx,Atomic Mass
42,Mo,molybdenum,96, 0.166 73(8),g,0.16673,42096,95.90467612
42,Mo,molybdenum,97, 0.095 82(15),g,0.09582,42097,96.90601812
42,Mo,molybdenum,98, 0.242 92(80),g,0.24291999999999997,42098,97.90540482
42,Mo,molybdenum,100, 0.097 44(65),g,0.09744,42100,99.9074718
43,Tc,technetium,97,1,g,1.0,43097,96.9063667
44,Ru,ruthenium,96, 0.0554(14),g,0.0554,44096,95.90759025
44,Ru,ruthenium,98, 0.0187(3),g,0.0187,44098,97.9052868
44,Ru,ruthenium,99, 0.1276(14),g,0.1276,44099,98.9059341
44,Ru,ruthenium,100, 0.1260(7),g,0.126,44100,99.9042143
44,Ru,ruthenium,101, 0.1706(2),g,0.1706,44101,100.9055769
44,Ru,ruthenium,102, 0.3155(14),g,0.3155,44102,101.9043441
44,Ru,ruthenium,104, 0.1862(27),g,0.1862,44104,103.9054275
45,Rh,rhodium,103, 1,g,1.0,45103,102.905498
46,Pd,palladium,102, 0.0102(1),g,0.0102,46102,101.9056022
46,Pd,palladium,104, 0.1114(8),g,0.1114,46104,103.9040305
46,Pd,palladium,105, 0.2233(8),g,0.2233,46105,104.9050796
46,Pd,palladium,106, 0.2733(3),g,0.2733,46106,105.9034804
46,Pd,palladium,108, 0.2646(9),g,0.2646,46108,107.9038916
46,Pd,palladium,110, 0.1172(9),g,0.1172,46110,109.9051722
47,Ag,silver,107, 0.518 39(8),g,0.51839,47107,106.9050916
47,Ag,silver,109, 0.481 61(8),g,0.48161000000000004,47109,108.9047553
48,Cd,cadmium,106, 0.012 45(22),g,0.01245,48106,105.9064599
48,Cd,cadmium,108, 0.008 88(11),g,0.008879999999999999,48108,107.9041834
48,Cd,cadmium,110, 0.124 70(61),g,0.1247,48110,109.9030066
48,Cd,cadmium,111, 0.127 95(12),g,0.12795,48111,110.9041829
48,Cd,cadmium,112, 0.241 09(7),g,0.24109,48112,111.9027629
48,Cd,cadmium,113, 0.122 27(7),g,0.12227,48113,112.9044081
48,Cd,cadmium,114, 0.287 54(81),g,0.28754,48114,113.9033651
48,Cd,cadmium,116, 0.075 12(54),g,0.07512,48116,115.9047632
49,In,indium,113, 0.042 81(52),g,0.04281,49113,112.9040618
49,In,indium,115, 0.957 19(52),g,0.95719,49115,114.9038788
50,Sn,tin,112, 0.0097(1),g,0.0097,50112,111.9048239
50,Sn,tin,114, 0.0066(1),g,0.0066,50114,113.9027827
50,Sn,tin,115, 0.0034(1),g,0.0034,50115,114.9033447
50,Sn,tin,116, 0.1454(9),g,0.1454,50116,115.9017428
50,Sn,tin,117, 0.0768(7),g,0.0768,50117,116.902954
50,Sn,tin,118, 0.2422(9),g,0.2422,50118,117.9016066
50,Sn,tin,119, 0.0859(4),g,0.0859,50119,118.9033112
50,Sn,tin,120, 0.3258(9),g,0.3258,50120,119.9022016
50,Sn,tin,122, 0.0463(3),g,0.0463,50122,121.9034438
50,Sn,tin,124, 0.0579(5),g,0.0579,50124,123.9052766
51,Sb,antimony,121, 0.5721(5),g,0.5721,51121,120.903812
51,Sb,antimony,123, 0.4279(5),g,0.4279,51123,122.9042132
52,Te,tellurium,120, 0.0009(1),g,0.0009,52120,119.9040593
52,Te,tellurium,122, 0.0255(12),g,0.0255,52122,121.9030435
52,Te,tellurium,123, 0.0089(3),g,0.0089,52123,122.9042698
52,Te,tellurium,124, 0.0474(14),g,0.0474,52124,123.9028171
52,Te,tellurium,125, 0.0707(15),g,0.0707,52125,124.9044299
52,Te,tellurium,126, 0.1884(25),g,0.1884,52126,125.9033109
52,Te,tellurium,128, 0.3174(8),g,0.3174,52128,127.9044613
52,Te,tellurium,130, 0.3408(62),g,0.3408,52130,129.9062227
53,I,iodine,127, 1,g,1.0,53127,126.9044719
54,Xe,xenon,124, 0.000 95(5),g m,0.00095,54124,123.905892
54,Xe,xenon,126, 0.000 89(3),g m,0.0008900000000000001,54126,125.9042983
54,Xe,xenon,128, 0.019 10(13),g m,0.0191,54128,127.903531
54,Xe,xenon,129, 0.264 01(138),g m,0.26400999999999997,54129,128.9047809
54,Xe,xenon,130, 0.040 71(22),g m,0.04071,54130,129.9035093
54,Xe,xenon,131, 0.212 32(51),g m,0.21231999999999998,54131,130.9050841
54,Xe,xenon,132, 0.269 09(55),g m,0.26909,54132,131.9041551
54,Xe,xenon,134, 0.104 36(35),g m,0.10436,54134,133.9053947
54,Xe,xenon,136, 0.088 57(72),g m,0.08857000000000001,54136,135.9072145
55,Cs,caesium,133, 1,g m,1.0,55133,132.905452
56,Ba,barium,130, 0.0011(1),g m,0.0011,56130,129.9063207
56,Ba,barium,132, 0.0010(1),g m,0.001,56132,131.9050611
56,Ba,barium,134, 0.0242(15),g m,0.0242,56134,133.9045082
56,Ba,barium,135, 0.0659(10),g m,0.0659,56135,134.9056884
56,Ba,barium,136, 0.0785(24),g m,0.0785,56136,135.9045757
56,Ba,barium,137, 0.1123(23),g m,0.1123,56137,136.9058271
56,Ba,barium,138, 0.7170(29),g m,0.7170000000000001,56138,137.905247
57,La,lanthanum,138, 0.000 8881(71),g,0.0008881000000000001,57138,137.9071149
57,La,lanthanum,139, 0.999 1119(71),g,0.9991119,57139,138.9063563
58,Ce,cerium,136, 0.001 86(2),g,0.00186,58136,135.9071292
58,Ce,cerium,138, 0.002 51(2),g,0.00251,58138,137.905991
58,Ce,cerium,140, 0.884 49(51),g,0.88449,58140,139.9054431
58,Ce,cerium,142, 0.111 14(51),g,0.11114,58142,141.9092504
59,Pr,praseodymium,141, 1,g,1.0,59141,140.9076576
60,Nd,neodymium,142, 0.271 53(40),g,0.27153,60142,141.907729
60,Nd,neodymium,143, 0.121 73(26),g,0.12172999999999999,60143,142.90982
60,Nd,neodymium,144, 0.237 98(19),g,0.23798000000000002,60144,143.910093
60,Nd,neodymium,145, 0.082 93(12),g,0.08292999999999999,60145,144.9125793
60,Nd,neodymium,146, 0.171 89(32),g,0.17189000000000002,60146,145.9131226
60,Nd,neodymium,148, 0.057 56(21),g,0.05756,60148,147.9168993
60,Nd,neodymium,150, 0.056 38(28),g,0.05637999999999999,60150,149.9209022
61,Pm,promethium,145, 1,g,1.0,61145,144.9127559
62,Sm,samarium,144, 0.0308(4),g,0.0308,62144,143.9120065
62,Sm,samarium,147, 0.1500(14),g,0.15,62147,146.9149044
62,Sm,samarium,148, 0.1125(9),g,0.1125,62148,147.9148292
62,Sm,samarium,149, 0.1382(10),g,0.1382,62149,148.9171921
62,Sm,samarium,150, 0.0737(9),g,0.0737,62150,149.9172829
62,Sm,samarium,152, 0.2674(9),g,0.2674,62152,151.9197397
62,Sm,samarium,154, 0.2274(14),g,0.2274,62154,153.9222169
63,Eu,europium,151, 0.4781(6),g,0.4781,63151,150.9198578
63,Eu,europium,153, 0.5219(6),g,0.5219,63153,152.921238
64,Gd,gadolinium,152, 0.0020(3),g,0.002,64152,151.9197995
64,Gd,gadolinium,154, 0.0218(2),g,0.0218,64154,153.9208741
64,Gd,gadolinium,155, 0.1480(9),g,0.14800000000000002,64155,154.9226305
64,Gd,gadolinium,156, 0.2047(3),g,0.2047,64156,155.9221312
64,Gd,gadolinium,157, 0.1565(4),g,0.1565,64157,156.9239686
64,Gd,gadolinium,158, 0.2484(8),g,0.2484,64158,157.9241123
64,Gd,gadolinium,160, 0.2186(3),g,0.2186,64160,159.9270624
65,Tb,terbium,159, 1,g,1.0,65159,158.9253547
66,Dy,dysprosium,156, 0.000 56(3),g,0.00056,66156,155.9242847
